592,East Croydon,Selhurst
1526,East Garforth,South Milford
1505,South Milford,East Garforth
104,Wanstead Park,Woodgrange Park
856,Romford,Chadwell Heath
692,Romford,Shenfield
855,Gidea Park,Romford
847,Chadwell Heath,Romford
1127,Stafford,Wolverhampton
2404,Penkridge,Wolverhampton
956,Purley,Earlswood
3396,Horley,Purley
4339,Kirk Sandall,Shireoaks
4340,Shireoaks,Kirk Sandall
1959,Roydon,Broxbourne
2148,Rye House,Broxbourne
1966,Broxbourne,Roydon
1965,Cheshunt,Broxbourne
1960,Broxbourne,Cheshunt
2683,Watford Junction,Bushey
2682,Kings Langley,Watford Junction
965,Coulsdon South,Merstham
952,Merstham,Coulsdon South
3245,Littlehampton,Angmering
686,Ingatestone,Shenfield
193,Northallerton,Thirsk
151,Northallerton,Darlington
150,Thirsk,Northallerton
4331,Yarm,Thirsk
4330,Thirsk,Yarm
3374,Water Orton,Walsall
4507,Water Orton,Kings Norton
4642,Water Orton,Small Heath
4641,Small Heath,Water Orton
4508,Small Heath,Walsall
4514,Birmingham New Street,Kings Norton
4513,Kings Norton,Birmingham New Street
4515,Birmingham New Street,Bourneville
4512,Bourneville,Birmingham New Street
1726,Wakefield Kirkgate,Darton
1123,Rugby,Milton Keynes
3844,Wolverton,Rugby
2651,Wolverton,Northampton
2843,Westenhanger,Ashford
3992,Ashford,Pluckley
1094,Wye,Ashford International
2834,Ashford,Westenhanger
2833,Pluckley,Ashford
4101,Ashford International,Westenhanger
1432,Oxford,Oxford Parkway
4066,Oxford,Tackley
4071,Tackley,Oxford
1431,Oxford Parkway,Oxford
1414,Oxford,Hanborough
1348,Worksop,Retford
1349,Retford,Gainsborough Lea Road
2671,Rugby,Long Buckby
2653,Long Buckby,Rugby
3067,Minster,Ramsgate
1118,Tamworth,Nuneaton
4503,Lichfield Trent Valley,Polesworth
2393,Adderley Park,Birmingham New Street
4499,Lichfield Trent Valley,Rugeley Trent Valley
1234,Gainsborough Lea Road,Doncaster
2485,East Midlands Parkway,Toton TMD
1184,Long Eaton,East Midlands Parkway
2484,Toton TMD,East Midlands Parkway
2371,Long Eaton,Toton TMD
1910,Attenborough,Long Eaton
4075,Attenborough,Sheet Stores Junction
4074,Sheet Stores Junction,Castle Donington Junction
3821,Castle Donington Junction,Sheet Stores Junction
2008,Toton TMD,Ilkeston
648,Norwich,Wymondham
673,Wymondham,Norwich
723,Brundall Gardens,Norwich
705,Diss,Norwich
1405,Ilkeston,Nottingham
4444,Tyseley,Small Heath
3675,Birmingham Moor Street,Birmingham Snow Hill
2402,Penkridge,Stafford
1109,Stafford,Stone
1114,Crewe,Stafford
2450,Bilbrook,Wolverhampton
1176,Sheffield Midland,Dronfield
148,Doncaster,York
1385,Doncaster,Bentley
1175,Meadowhall,Sheffield Midland
1168,Wakefield Westgate,Sandal & Agbrigg
1163,Sandal & Agbrigg,Wakefield Westgate
4342,York,Selby
1522,Bramley,Leeds
1657,Leeds,Kirkstall Bridge
1165,Outwood,Leeds
1509,Leeds,Bramley
3673,Harrow-on-the-Hill,London Marylebone
3672,Wembley Stadium,London Marylebone
3674,London Marylebone,Harrow-on-the-Hill
3671,London Marylebone,Wembley Stadium
4196,Ruskington,Spalding
1905,Beeston,Nottingham
1341,Bulwell,Nottingham
1319,Nottingham,Bulwell
1278,Carlton,Nottingham
1100,Milton Keynes,Northampton
1121,Northampton,Milton Keynes
1101,Northampton,Rugby
1120,Rugby,Northampton
3836,York,Church Fenton
3741,Leeds,Cottingley
1174,Swinton (South Yorks),Meadowhall
1156,Meadowhall,Swinton (South Yorks)
149,York,Thirsk
4017,Poppleton,York
4019,Malton,York
4014,York,Poppleton
1694,Wakefield Kirkgate,Wakefield Westgate
39,Bethnal Green,London Liverpool Street
690,London Liverpool Street,Stratford
689,Stratford,London Liverpool Street
3261,London Bridge,New Cross Gate
4164,Smethwick Rolfe Street,Hamstead
2481,Hamstead,Birmingham New Street
198,Manors,Newcastle
4376,Manors,Northumberland Park (North)
4375,Northumberland Park (North),Manors
3982,Liverpool James Street,Moorfields
4025,Moorfields,Liverpool James Street
4031,Liverpool Lime Street,Liverpool Central
3349,Waterloo East,London Bridge
4511,Stechford,Aston
389,Essex Road,Highbury & Islington
1,custom_source,Bethnal Green
